split,stem,image_width,image_height,background_pixels,cat_pixels,dog_pixels,ignored_pixels,foreground_pixels,foreground_fraction,bbox_x1,bbox_y1,bbox_x2,bbox_y2,bbox_width,bbox_height,component_count,largest_component_pixels,present_classes,image_sha256,image_dhash,mask_sha256,quality_status
train,000000049758_3963,256,256,62748,2788,0,0,2788,0.04254150390625,83,157,156,226,73,69,1,2788,cat,f9e21cb6b233e4bc121351a025781b07ead6a7204f77fe98d5a011a7dff7ffa3,86a6a6aeabb3b3a2,9913950368d34d630b38cf86c6168ba3c6552d6670e13af3408517352972f1a9,ok
train,000000052846_6699,256,256,63747,1789,0,0,1789,0.0272979736328125,174,82,215,141,41,59,1,1789,cat,45f035e74e6568ce683a661251f51e1bac3b631ee52abcf0ee40c0caf55164ed,252524b67373f0b0,0558b589a4b9d18bd818f895c86faa7a5b348ca8e298a5cf075a5746d30cc678,ok
train,000000056701_125,256,256,59221,0,6315,0,6315,0.0963592529296875,95,148,233,224,138,76,1,6315,dog,6f251658e35bd5cc4686808142a41febac131b731595198c740813f1c4b746b3,773748cedab8bcf4,19df767bb7b3f394dbee7edd1504c934c4f8468b1e0ba675542373425dccf2d3,ok
train,000000056857_4445,256,256,57326,8210,0,0,8210,0.125274658203125,84,32,213,177,129,145,1,8210,cat,5733caaded53f9d790998fcf4c8a0de17012c93a86bfe20c07725a554da38c42,b888cce6b34b0100,e04b8313a2846c63c7dc24ab399613436ad84c207702121f4bd4e0984bd2bfb9,ok
train,000000064899_2835,256,256,63038,0,2498,0,2498,0.038116455078125,37,125,101,200,64,75,1,2498,dog,42d6516e998f14f09c5302a63b21ae04979317f750e38fca45969d718bec295a,e13331614f2770a1,665691863606cb6ad5e41fc83701e0d021cb3f047358b09b8fe4394b3cbe6c60,ok
train,000000066011_2187,256,256,51197,14339,0,0,14339,0.2187957763671875,47,65,198,233,151,168,1,14339,cat,948e2f090f0d7e17ba5088ce9acfaa9df61d17769c5fe2317223fc2b253cabe2,4e60573639113936,e39564ba1d8388fcb333c3a253aee1aef7d365f2bc26cc05c8ae5d956c8951c8,ok
train,000000066041_3589,256,256,65030,506,0,0,506,0.007720947265625,131,106,166,136,35,30,1,506,cat,7de25b854f8e4d28d811beb3409a8b90d9124f5401ed49a8817590987c4d60cd,0b0b090e0e162002,74347e82a984e2c7b4e89b201f48f2719e8233930c9266516008cac9f1550ae0,ok
train,000000067445_4881,256,256,63349,0,2187,0,2187,0.0333709716796875,196,44,237,121,41,77,1,2187,dog,8e158dfe3d347fcff6581ff430eeb8773ff4b2764d57bc875a3d0b9fe70bfc60,5151537b7c181c1e,81897da024b2f523614077335f0a5320a1575301e81475ff0dbce96cb816cfa4,ok
train,000000069480_3325,256,256,54044,0,11492,0,11492,0.17535400390625,71,87,231,218,160,131,1,11492,dog,83221c83ca21ae62fcd7ac74b0b69ba3e66118e0fa7b188175e035f214e56ce5,5d7b7aba8d9e166f,60e83b9f155998b8361da48621b01c50daad14bb5f733b29aa01e3a16821a36c,ok
train,000000070815_324,256,256,62526,0,3010,0,3010,0.045928955078125,101,87,161,185,60,98,1,3010,dog,20a5fc4e3f69daacfcb983ac232123b27d50dd98bfb5c8f4a228243eadb83878,5911596e6869c080,fcdf3e201439cce46b09362f15e121ebf6b285770c49a77b71d09854c7f90b04,ok
train,000000071313_4743,256,256,60564,0,4972,0,4972,0.07586669921875,98,60,237,186,139,126,1,4972,dog,6a2928f363678a50a7d849c8b6a7e00328f0c940ae43a60793042ac4e9c81294,a62e0a91cdd0d0a6,aa7d0c131983106589748c501354bfe09a59d03707fa0ad1f2c4bbc25a17835a,ok
train,000000072902_3044,256,256,61632,0,3904,0,3904,0.0595703125,60,102,168,179,108,77,1,3904,dog,74015ec6b094fea63580e51c897cd485f747702a39c47df306f378f81d58811c,b097a0688dccbb6d,d159435511d18543bc6e0356ae5b62a07fa5cc427d4782722b20846bd6821ee7,ok
train,000000077325_4727,256,256,57169,0,8367,0,8367,0.1276702880859375,51,72,186,231,135,159,1,8367,dog,b1f48424c003575bb21ccdab6bceab3ec0ed4273567b6bf66cd9f61a18b274ca,40c436391e0eae8d,0e665ce2139ddd83ae83fa5129829790567ec70737b6f17d83f2c440473ed1cd,ok
train,000000086215_209,256,256,61959,3577,0,0,3577,0.0545806884765625,23,89,150,148,127,59,1,3577,cat,3fb3ee9a25dcf4739dac64fe74466b08c1e9aa6475cf10851f6a4d542caa8d85,9892b2ac9860a044,540f7da3c89e712573315dcb4a7646d960913e16f21f73160ff17ba224e2e098,ok
train,000000095050_2721,256,256,53346,0,12190,0,12190,0.186004638671875,33,45,186,203,153,158,1,12190,dog,007b2b595331c33ecc817be7bd17916be16cfc1e23225b9758509027cd53a92e,4836361e0e4e1707,6239a3ba722869a8c973f5877750061cd8cf3c469ec9285e97049a853ff1a7a2,ok
train,000000095363_2465,256,256,54003,0,11533,0,11533,0.1759796142578125,70,29,224,165,154,136,1,11533,dog,3ba18e591f38ae81d248fd0dfc14d4a89f0debe636f850bdbf607247709d1d54,381e170f9f9b998d,c30c0cce0e6dd11996fc0f48f831ed23107f562e773bfeabd825e22e239da119,ok
train,000000097902_3578,256,256,59213,0,6323,0,6323,0.0964813232421875,80,137,222,232,142,95,2,4010,dog,5ff3e7bf25c6fca8f5f391fcfd72fbd23b6c95bded2b661bce0b2bd3c7186d51,6070341555595b5a,66bd5d3dbabbb030bb15653b6d8fbb97c2482e2760f6d50b02bf7d9058e21236,ok
train,000000098503_3189,256,256,58592,0,6944,0,6944,0.10595703125,28,21,138,167,110,146,1,6944,dog,5ac819c7214db827720f1e7b82903ab3c98e1a94dd7a1ff8ccf3791aab968cc7,c19b9b911e9373cc,0c9b3c172f3bb996b07a636d056b84a8140c800904f1a86a20ae912654da5fd6,ok
train,000000103581_7300,256,256,63054,0,2482,0,2482,0.037872314453125,21,116,108,181,87,65,1,2482,dog,36505724996a987fa60c45aaecdd3a99f75f7449162ebfedc01b00385c5aaf3e,b0b032e0a8ad6879,d36c3c445f43f8cfffbe389e97b88c2250c1ff0d96ebf95bfd75c6424dc596da,ok
train,000000103806_56,256,256,60481,5055,0,0,5055,0.0771331787109375,89,82,184,170,95,88,1,5055,cat,82e7fe6dd00f4426f0e07833b6065439d452d5f56f23e065fbd03f2286c1f588,7030244e0c1c2844,de487cb4e6a33ff775764bfb47ea3fcd6a62a54f5d0ba767fa4290aae539275b,ok
train,000000104421_1293,256,256,55797,0,9739,0,9739,0.1486053466796875,60,59,167,214,107,155,1,9739,dog,05ad0cdacbaba23e94ef2caeb8d5dc6550a11a23461477f9723e7ed3cc03e651,c105697270d14d4a,0469b4e06374748fcde4846cad452979dd267de9b43bb597197c989b035d5e5b,ok
train,000000108599_3349,256,256,62729,0,2807,0,2807,0.0428314208984375,89,130,164,201,75,71,1,2807,dog,c501cfb993adb06e8d4c005cdf7db61471aaf040402f018bec5084a9d878a13a,6552ce8ade0e1c1c,30628465ad38b0765bd96c316bce88e7fbf419571373f911b35cda3be202db15,ok
train,000000111195_5637,256,256,59342,0,6194,0,6194,0.094512939453125,96,95,231,181,135,86,1,6194,dog,31618d4818487565a59c290e6167a1a292cfd365820a50ad65e9ffaf852794ed,71f9c8c4cccd2819,68023c221c4cdd4ceaf705fc73b55ef176f35d60845c48f70aa9f09d019eef11,ok
train,000000116048_5625,256,256,59228,0,6308,0,6308,0.09625244140625,68,113,233,227,165,114,1,6308,dog,303e12d69ffae134f2d78344656dcf8bc4c85e09692c299c450b35adb2dfad00,8b80e461938b0f1f,c090bef86dbcc6c6c315a0b7f7af9795f219b2361818e8944137b80eb3d0e2ed,ok
train,000000116503_5471,256,256,58001,7535,0,0,7535,0.1149749755859375,140,56,221,202,81,146,1,7535,cat,6f360bcc5dcea1a5dc7aebe132f84c6b10d00f9cbb397684dde4c91a2a543102,707476741040fc3c,ec460a5ba5bd2c1373e4eda0646fa7ed6a1a63dbf94c263e40ba7b5398045535,ok
train,000000118680_4349,256,256,58194,7342,0,0,7342,0.112030029296875,27,126,134,227,107,101,1,7342,cat,890cbf31d60dad90974b42c4e2043febd7509fc10997b31957f64250d9a23b73,8792088c96e6c781,f2eef3931bcb7b389bb086f0cbef84fc8ab90775dbf520b8738678319b9fef09,ok
train,000000118960_5884,256,256,64678,858,0,0,858,0.013092041015625,148,80,195,116,47,36,1,858,cat,181e942fb82c68eb154639d3f114df9a88305792ed78ed42b5828028331b2aa6,908a0ac99f9f1d0c,f71e0307407a307c3345f286593a8643cfff1580a06aba6e55d93062ec3eb562,ok
train,000000120466_2612,256,256,58237,0,7299,0,7299,0.1113739013671875,41,82,179,197,138,115,1,7299,dog,abb955728390c683bf6032e4f25c807cd55a94adaed37012601c4f392b9ed43c,e4f4c6b63e1c1eff,db0767070cf732960b34f2d56b6df6b85f73b6db718912d3d4de91136ec60067,ok
train,000000121530_5761,256,256,65450,86,0,0,86,0.001312255859375,86,62,175,76,89,14,13,39,cat,46622d75ab3570a4cc391fd972ed9c06e2a2854c013356629877d2ddceff2700,201eae66577e5e1e,8b21f4714dc53799374071d7abf4b0932aba212b49af01878eb47f7c0cafeafb,remove_broken_mask
train,000000122953_85,256,256,53571,11965,0,0,11965,0.1825714111328125,106,47,224,206,118,159,1,11965,cat,9c47b750d1f08c849272c13c32d46e7ddc09bcf2c81ea0eba1c4af982f1b5d9c,2d27c3a727644448,22f55878fd9b9842e3096b6af090ae490c02d5808072f509e9ccd0b808410d7b,ok
train,000000123916_5831,256,256,56444,9092,0,0,9092,0.13873291015625,37,52,133,183,96,131,1,9092,cat,6c574a4da6e97737b2f41f4b8eb6a03575c6a790f4052c2cc3c6f545dacccca4,e4c49f3f373a190c,2b9e9e9caff63b7ca6b57024742490dac5d1ca6f20b6299cc7dde6c8f17a14c5,ok
train,000000138186_7149,256,256,54831,10705,0,0,10705,0.1633453369140625,46,58,216,180,170,122,1,10705,cat,af312e37e88127f4e23415a7538186bb7523ad5fd1dae32fd19d6a1e3ea167e6,35272f0f03170fc7,00afe867b048867e2123768064cc0b5f3e283d59c0c11741b3a7f70cd3a22e5a,ok
train,000000141800_5633,256,256,61257,4279,0,0,4279,0.0652923583984375,76,166,198,217,122,51,1,4279,cat,98b5da5d18e8f1d830a66d47968a9f842dc35e4486fb6ded4017c5f42df67e80,040288829289991a,a8574913c3d9f80ba6816b088878a5243420c21a74f038d48fa059b4a8d621cb,ok
train,000000148827_6207,256,256,63491,2045,0,0,2045,0.0312042236328125,103,150,148,229,45,79,1,2045,cat,22cafaf12d2eb9b2e50d352daa851659baf13a0a033cd82a970e6add0a291d09,3864646ceccfccd8,1587e3087ff325432773dee470bf62f5bf404e3ad93d561b1cb0681ad5d99cc5,ok
train,000000149184_281,256,256,64849,687,0,0,687,0.0104827880859375,169,93,205,120,36,27,1,687,cat,ca20fb34475b5ffa1a3af6fef737bfb0e35f8f3856e995a52e9e6d5d99e3a478,93933326a32727e7,a8910653f9906b7da0aa4ada0d8725c24bfd1ad2fc7fce94e77d4c286da106b3,ok
train,000000149442_7562,256,256,64712,0,824,0,824,0.0125732421875,82,139,119,191,37,52,1,824,dog,b346c22a20ae98d1147ebfdb93b969ae33faae2c56073978bec7cfe00ac70bb5,000485c191d8ecc0,2354a52d662997c802b140150d92f90dc2d46bb65b1544f4fee08d05f5501708,ok
train,000000152588_3243,256,256,56822,0,8714,0,8714,0.132965087890625,101,88,228,237,127,149,1,8714,dog,fba6cda1a522e093e2b7ea10b290c7a3dc784d502c245c2fe2bdfc34e4376cf6,4646e1e9e465693b,dc2d8430c5e3b50ac58d9db2b6d38d11f6b1553e767df41cc63f6bcb9f69eb86,ok
train,000000156506_5493,256,256,61684,3852,0,0,3852,0.05877685546875,101,28,213,80,112,52,1,3852,cat,7b3d6186d6109ab8def39b7be1cebd1bb841b95c676007c6d62b12f41425b83a,e42e6cf0c52b4dbd,3f17d3860059edddadab6cb8320da1c8b64f441ae351c20aed5456d0579e8c74,ok
train,000000159069_6996,256,256,62279,0,3257,0,3257,0.0496978759765625,122,95,178,203,56,108,1,3257,dog,ed69829fc2669253cf93e45385afeb411814b6ff19054abf5081226d33779bb2,0313151e1a9bd5d1,b41693b4ef412f7d02ee23e9c29c9fe589494bdbab086fa57e29866f63ab9204,ok
train,000000168146_1385,256,256,53541,11995,0,0,11995,0.1830291748046875,95,66,227,236,132,170,1,11995,cat,bbc243ddefd849683a9ad06dfcad0e5eba951452599ce9ef9455eaf47ff14f57,9fdf9dba66cf8f0f,941c17ae901648a816d0d918c32f1feac8532e70fc7ad34d192fc8b878dc4641,ok
train,000000168852_6892,256,256,59000,0,6536,0,6536,0.0997314453125,99,108,231,211,132,103,1,6536,dog,009f9af318eba65649e6bd8c34824d6c95f93726b460d0bdd3dc9fe9a227852d,033cfc7009870700,66daf8b47804f1825f6d55d1bc8c8f4201cf6800a5c198b8e1211fee54b24400,ok
train,000000171239_5013,256,256,60408,5128,0,0,5128,0.0782470703125,46,76,170,191,124,115,1,5128,cat,5a8bc463a447a5b22296a2a4d40c1a10586399fe363189d0ff50b04fa9a20560,b432abe7af1acf79,0ef86477b28bfa6818c265cae3884fab904a0c038b30de6aa0f3f1990964eb56,ok
train,000000171753_498,256,256,53320,12216,0,0,12216,0.1864013671875,58,64,222,166,164,102,1,12216,cat,738d29450c8667a435f47a23033cb29bd1d408a675dfd1ded1d54844dbe85137,ec92b9a880e0eb29,35dd8c79453562cd869963db5849b80a92c4a028ebd965879f59c5730b3cfe01,ok
train,000000177258_1143,256,256,60394,5142,0,0,5142,0.078460693359375,160,44,236,174,76,130,1,5142,cat,e7f9b692c40de2daac9b54d26d830f762c22b1d43888a17a98e227b7a72d8ce3,71b8b1339bb89c36,b2df6259a775e462c7141c00ab20a87cdfd12d1acc90aad40678b45c3be21176,ok
train,000000177413_4194,256,256,58140,7396,0,0,7396,0.11285400390625,55,66,188,151,133,85,1,7396,cat,8655290d8144c475f984efee35101f758d2814aeb2ae80e4ab349775b5670974,b8f026234869f1c8,6c3e1ac45f53369487ed5bc1f4bf5a9feefd089f6ea3f6fe5ba31d597d76260e,ok
train,000000180672_4127,256,256,60460,5076,0,0,5076,0.07745361328125,80,62,176,162,96,100,1,5076,cat,998a5548bcf4e03e48d0a843095e552749604482922c0ab2b383c6a681a8dc71,c64686f3333cf0e6,6850ae5e5eb4e20d13bb95eca88acff483320da56818379f645258b87faab9ac,ok
train,000000182758_3388,256,256,59888,5648,0,0,5648,0.086181640625,127,107,223,197,96,90,1,5648,cat,4173fca567992ec59900f07d25ae4d43f9b0958c27648233ab9537bcf26e54b8,3ee7d9f367737d7d,7c69a34532ae415f4e3050607b01bb287135d033ed0840f076e9ec784c22d155,ok
train,000000185004_4662,256,256,65142,0,394,0,394,0.006011962890625,154,142,174,179,20,37,1,394,dog,2febe3e458c0b8df31f02a364ce1310c24e86ea03570caadeac12a1e96967b2e,fbd32f2f25e41a41,fdf61d13cba9a3a0a35b339672a8d3ce02cf883ef6122ef0d9f46e249101cdf3,ok
train,000000185394_6356,256,256,61742,0,3794,0,3794,0.057891845703125,88,114,189,190,101,76,1,3794,dog,93523a7cc0f3471e5d5742971520b922ee7179de6e237a1b0d15a2a36b182770,4b02faff31702a2d,d779f0f57306c8ecc0148e0ca5993e05119f2744664a03853ac7aa5746bf89b5,ok
train,000000189069_4283,256,256,62031,3505,0,0,3505,0.0534820556640625,108,136,215,195,107,59,1,3505,cat,1ef3559c1ce110881ac1ca22553a0622af536d2e7b68664c34c727795677b5e3,fcbefedcf283b19e,e559ec0064ede354f47b7ce40b95278ff08c2cb188a91c0acc972ff5d686daf3,ok
train,000000190326_970,256,256,51630,13906,0,0,13906,0.212188720703125,61,37,237,193,176,156,1,13906,cat,cdc2291aeee94be2229eab2f257f709b6b73f04911cb3865e6e8a3918b7edaee,b85ecff3f4f7030e,abb0f7ad36bbf4a1b365ece642d2ac8b34236380cf51d170bfed060228e8d070,ok
train,000000191193_3979,256,256,62689,0,2847,0,2847,0.0434417724609375,150,48,226,127,76,79,2,2695,dog,a43762af5743183cb10f29faa16eef9d1221d4ccd5adb53afde400be74358cfc,332121232f7e70b1,1c7bb36168cf7e0d8bd423396b3f98fffd28b52aceeadf2292f33a596aca820a,ok
train,000000195449_6211,256,256,56269,0,9267,0,9267,0.1414031982421875,85,41,211,183,126,142,1,9267,dog,f0f89ad5f3dfeb640bed280a54020b977cb9acfdc42ccc9e94d6f69b2db65773,61316921a1e362a3,92293f9e4d124dde00a47e7b5cdd22791f4cb33570253b309813548730101d36,ok
train,000000196371_1614,256,256,62432,3104,0,0,3104,0.04736328125,87,51,166,123,79,72,1,3104,cat,d31df42afc2c6a20a2d1542d62352378004aa85103cacedbc89a15d9b20339c4,af8ff66260c0c080,25dd7270624c1c78b70e85880ea62a013cecc2e2a34a6dcbadaf129615d8290b,ok
train,000000198518_1669,256,256,62192,0,3344,0,3344,0.051025390625,87,109,210,165,123,56,1,3344,dog,64af16e92871c252d49ca19125acc02fa5cb86d3d713c4218ff5ca5d9d911e4b,13f734f07afa7870,c8945f15f7e5313f7b0b6ed8f466a771bb8357b8e5da50ec83bffb8bd8e7fc18,ok
train,000000198836_3389,256,256,52882,12654,0,0,12654,0.193084716796875,53,35,193,177,140,142,1,12654,cat,3ff6d7b978f17d071b6e8e6a624c640cc9581e87453dd280cadbcf7e03b87155,fefefee6f63f018d,9b9a8c25e6ea0467a18843d53e3e32694517ce488db6ef63cdde6eb6ffa8e7c6,ok
train,000000204612_4323,256,256,62716,2820,0,0,2820,0.04302978515625,63,55,156,223,93,168,2,1704,cat,671f0eb48295cbe3353adf92daec5873db24d604709cce363dfd3c0ffea36bed,222accc4c33b379e,2256b325900df5762b2cb7016ddb15388bf88fdc9b7c52606bcfa54a44be377d,ok
train,000000208910_3663,256,256,61252,0,4284,0,4284,0.06536865234375,110,119,210,189,100,70,1,4284,dog,86ddfff4aa17a3e5aafd14ec0057c4807ec4e5cb512553cae2eaacb51eefe486,adadac8c06060ce0,129e9f52dda8ea14e9f5dd2c73d70396bd56e322ff7e51cc4becf1f27b10c1a8,ok
train,000000215618_2686,256,256,62729,0,2807,0,2807,0.0428314208984375,99,35,150,139,51,104,1,2807,dog,00b74f041c8eed737bab074b55c4a591220f6bc37634b855828d4224e9f8820a,e1a2c8cec6cac0c2,d29fcf4553d1c8c9cda923f731d860aefb862b08add247a76d69b35071a7267a,ok
train,000000216665_5491,256,256,62924,2612,0,0,2612,0.03985595703125,152,141,228,228,76,87,1,2612,cat,239bf693d0352f9bd31e05fdb5c53ed99a6bf3522f26bbc5e2430a980fd7cf6c,19332727db790420,a4a11f520aa7ce7f20a8a3d700c3fc09acf178d4e55abeead0a077043f1f30cb,ok
train,000000219194_7547,256,256,59099,6437,0,0,6437,0.0982208251953125,113,85,237,181,124,96,1,6437,cat,334cb2acebf66bad650adba9124dfc18c36d2c24a61ef824e65151aaa8c489cb,f8f2eec7c3e36bfe,0b2ebad270661a46904c382cc4d20872bb1b8b63fee6c34ad73417f13799ec62,ok
train,000000223640_3774,256,256,61331,4205,0,0,4205,0.0641632080078125,22,77,149,225,127,148,2,4193,cat,a716afc7434cc0361c3d669fe8e9e7aa5eb437bb96aaeab239d76a4076e4339e,a099b9e1e1c19191,3fb8bb4c32b8b5ef4bd2ef218312b8b49ccf53eae9830afb62cb6cbc9c621f69,ok
train,000000224567_1722,256,256,63245,0,2291,0,2291,0.0349578857421875,30,116,129,207,99,91,1,2291,dog,ee619b13872f4faf7ec1ea75499c33467390f7970182a679f835af0bc5623023,1b7a4e15579ddf71,5b6375d1e967a23285d18dd0a0ba648418bfebbfd3578a05f0c2f0481dcba98f,ok
train,000000224869_5278,256,256,62278,0,3258,0,3258,0.049713134765625,79,112,153,222,74,110,1,3258,dog,affaf7f6afd33f88456e8d34a8ce1114fee4f9e63f451da6dad4a6ce9dfe59b4,cecece4e4e565e46,5170c58a5cb3d7317a3053add0d20ee00c6579be9ab0189aa9b966e523f78d3f,ok
train,000000229419_3328,256,256,61613,0,3923,0,3923,0.0598602294921875,110,59,221,107,111,48,1,3923,dog,9eed8f2e7ba6a38cde578acc10a4a08562d95a31a8b978b4be67125db889c9f5,24a5a3e718d1612c,258fec2acec6e0e4e8882a96798ce54c0e4a5fca071fa092587c57cbe1842482,ok
train,000000229631_480,256,256,48413,17123,0,0,17123,0.2612762451171875,37,65,202,235,165,170,1,17123,cat,ba39a257eae7470a8bb483c443ad1bc67b4c8533c523d35d532c4e3649b2fd81,08383272f04c1e08,04ed324f08dfc621080330f16416332dd4f5395185a1ce8ca8433607da00ee38,ok
train,000000230224_7333,256,256,59457,6079,0,0,6079,0.0927581787109375,34,122,190,210,156,88,1,6079,cat,1c375ef80f04b8b636273075dbfbe47d1299cb01ffec6a7b483727900404e1e1,d923468c3870e5c7,a01bdae46206ea5ce66293d0c1d06c10c014a761ea4c8dbaa4cc6449e8dfbff4,ok
train,000000234475_3677,256,256,52728,12808,0,0,12808,0.1954345703125,81,56,204,228,123,172,1,12808,cat,a3c53be1586187b7fd88ab299a2f1dc3c030ffd9ea5e8d729c783b14b595e5bd,7c7ec6c61e1c1b19,2d674f050ba4ca6340523ed474afdfb6f1dd3dc16e2057bb4ab9539bf4068c68,ok
